Padró municipal d'habitants. Xifres oficials. Per sexe
Municipis. 2016
Font: Idescat. Padró municipal d'habitants.
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=pmh&n=446&by=mun
Codi;Literal;Homes;Dones;Total
439039;Camarles;1707;1642;3349;
430385;Cambrils;16317;16956;33273;
170353;Camós;340;343;683;
170366;Campdevànol;1630;1684;3314;
170372;Campelles;70;67;137;
080399;Campins;246;224;470;
170388;Campllong;258;258;516;
170391;Camprodon;1097;1124;2221;
250637;Canejan;54;43;97;
170405;Canet d'Adri;353;349;702;
080403;Canet de Mar;6936;7348;14284;
439076;Canonja, la;2886;2960;5846;
080410;Canovelles;8250;7687;15937;
080425;Cànoves i Samalús;1452;1421;2873;
170412;Cantallops;160;157;317;
080431;Canyelles;2246;2161;4407;
430398;Capafonts;58;54;112;
430402;Capçanes;192;200;392;
080446;Capellades;2572;2655;5227;
170427;Capmany;306;290;596;
080459;Capolat;45;48;93;
080462;Cardedeu;8958;9200;18158;
080478;Cardona;2351;2424;4775;
080484;Carme;411;380;791;
430419;Caseres;127;126;253;
170448;Cassà de la Selva;5101;4924;10025;
080497;Casserres;760;768;1528;
080575;Castell de l'Areny;40;29;69;
259046;Castell de Mur;94;81;175;
250642;Castellar de la Ribera;71;71;142;
080522;Castellar de n'Hug;83;74;157;
080500;Castellar del Riu;97;79;176;
080517;Castellar del Vallès;11639;11994;23633;
080538;Castellbell i el Vilar;1820;1764;3584;
080543;Castellbisbal;6206;6071;12277;
080556;Castellcir;367;359;726;
250674;Castelldans;524;434;958;
080569;Castelldefels;32034;32858;64892;
080581;Castellet i la Gornal;1104;1089;2193;
170464;Castellfollit de la Roca;494;476;970;
080608;Castellfollit de Riubregós;96;69;165;
080594;Castellfollit del Boix;225;223;448;
080615;Castellgalí;1039;956;1995;
080620;Castellnou de Bages;647;640;1287;
250680;Castellnou de Seana;393;343;736;
170470;Castelló d'Empúries;5441;5343;10784;
250693;Castelló de Farfanya;300;256;556;
080636;Castellolí;277;296;573;
170486;Castell-Platja d'Aro;5215;5352;10567;
250707;Castellserà;519;511;1030;
080641;Castellterçol;1181;1170;2351;
430424;Castellvell del Camp;1436;1415;2851;
080654;Castellví de la Marca;772;773;1545;
080667;Castellví de Rosanes;882;925;1807;
430430;Catllar, el;2170;2041;4211;
250714;Cava;35;22;57;
171899;Cellera de Ter, la;1023;1031;2054;
170499;Celrà;2665;2638;5303;
080673;Centelles;3632;3778;7410;
082687;Cercs;591;592;1183;
