Padró municipal d'habitants. Xifres oficials. Per sexe
Municipis. 2016
Font: Idescat. Padró municipal d'habitants.
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=pmh&n=446&by=mun
Codi;Literal;Homes;Dones;Total
082233;Sant Llorenç Savall;1208;1167;2375;
082251;Sant Martí d'Albars;54;54;108;
082248;Sant Martí de Centelles;581;541;1122;
171729;Sant Martí de Llémena;324;294;618;
259025;Sant Martí de Riucorb;353;321;674;
082264;Sant Martí de Tous;603;587;1190;
082270;Sant Martí Sarroca;1516;1583;3099;
082286;Sant Martí Sesgueioles;190;181;371;
171735;Sant Martí Vell;128;122;250;
082299;Sant Mateu de Bages;311;307;618;
171740;Sant Miquel de Campmajor;119;107;226;
171753;Sant Miquel de Fluvià;387;355;742;
171766;Sant Mori;98;78;176;
171772;Sant Pau de Segúries;327;343;670;
082310;Sant Pere de Ribes;14928;14914;29842;
082325;Sant Pere de Riudebitlles;1187;1182;2369;
082331;Sant Pere de Torelló;1246;1181;2427;
082346;Sant Pere de Vilamajor;2133;2124;4257;
171788;Sant Pere Pescador;1153;981;2134;
081897;Sant Pere Sallavinera;86;72;158;
082359;Sant Pol de Mar;2450;2501;4951;
082362;Sant Quintí de Mediona;1079;1042;2121;
082378;Sant Quirze de Besora;1052;1073;2125;
082384;Sant Quirze del Vallès;9687;9977;19664;
082397;Sant Quirze Safaja;339;298;637;
251945;Sant Ramon;275;234;509;
082401;Sant Sadurní d'Anoia;6221;6433;12654;
082418;Sant Sadurní d'Osormort;49;31;80;
080983;Sant Salvador de Guardiola;1590;1551;3141;
082628;Sant Vicenç de Castellet;4586;4649;9235;
082649;Sant Vicenç de Montalt;3073;3109;6182;
082652;Sant Vicenç de Torelló;982;1014;1996;
082634;Sant Vicenç dels Horts;13936;14025;27961;
431384;Santa Bàrbara;1926;1848;3774;
082439;Santa Cecília de Voltregà;96;87;183;
082444;Santa Coloma de Cervelló;3960;4113;8073;
171805;Santa Coloma de Farners;6361;6222;12583;
082457;Santa Coloma de Gramenet;58288;58865;117153;
431397;Santa Coloma de Queralt;1347;1379;2726;
171812;Santa Cristina d'Aro;2571;2557;5128;
082460;Santa Eugènia de Berga;1148;1098;2246;
082476;Santa Eulàlia de Riuprimer;641;625;1266;
082482;Santa Eulàlia de Ronçana;3544;3505;7049;
082495;Santa Fe del Penedès;191;183;374;
171827;Santa Llogaia d'Àlguema;179;164;343;
082508;Santa Margarida de Montbui;4800;4811;9611;
082515;Santa Margarida i els Monjos;3769;3591;7360;
082589;Santa Maria d'Oló;542;512;1054;
082536;Santa Maria de Besora;75;73;148;
082567;Santa Maria de Martorelles;436;425;861;
082554;Santa Maria de Merlès;87;91;178;
082573;Santa Maria de Miralles;71;61;132;
082592;Santa Maria de Palautordera;4633;4561;9194;
431401;Santa Oliva;1657;1603;3260;
171848;Santa Pau;769;755;1524;
082606;Santa Perpètua de Mogoda;12920;12636;25556;
082613;Santa Susanna;1698;1625;3323;
081923;Santpedor;3732;3788;7520;
431423;Sarral;811;776;1587;
171864;Sarrià de Ter;2498;2537;5035;
252017;Sarroca de Bellera;69;48;117;
252000;Sarroca de Lleida;204;170;374;
171870;Saus, Camallera i Llampaies;419;423;842;
431439;Savallà del Comtat;29;30;59;
431444;Secuita, la;850;842;1692;
171886;Selva de Mar, la;106;82;188;
431457;Selva del Camp, la;2813;2778;5591;
431460;Senan;33;18;51;
430445;Sénia, la;2835;2819;5654;
252022;Senterada;80;53;133;
250352;Sentiu de Sió, la;239;223;462;
082671;Sentmenat;4391;4309;8700;
171903;Serinyà;580;552;1132;
252043;Seròs;1035;877;1912;
171910;Serra de Daró;116;93;209;
171925;Setcases;98;83;181;
252038;Seu d'Urgell, la;5864;6321;12185;
082690;Seva;1734;1712;3446;
252056;Sidamon;383;351;734;
171931;Sils;3000;2910;5910;
082704;Sitges;14232;14246;28478;
170524;Siurana;72;83;155;
082711;Sobremunt;33;50;83;
252069;Soleràs, el;181;169;350;
431476;Solivella;314;305;619;
252075;Solsona;4425;4489;8914;
082726;Sora;106;83;189;
252081;Soriguera;221;187;408;
252094;Sort;1068;1077;2145;
252108;Soses;880;818;1698;
082732;Subirats;1554;1443;2997;
252115;Sudanell;481;386;867;
252120;Sunyer;200;150;350;
082747;Súria;2841;3032;5873;
171946;Susqueda;57;38;95;
082763;Tagamanent;170;146;316;
082779;Talamanca;106;80;186;
252154;Talarn;462;227;689;
252167;Talavera;141;116;257;
171959;Tallada d'Empordà, la;233;218;451;
082785;Taradell;3138;3183;6321;
431482;Tarragona;63798;67296;131094;
252173;Tàrrega;8192;8289;16481;
252189;Tarrés;57;43;100;
252192;Tarroja de Segarra;101;81;182;
082750;Tavèrnoles;161;157;318;
082802;Tavertet;62;50;112;
082819;Teià;3073;3181;6254;
252206;Térmens;760;766;1526;
171962;Terrades;140;145;285;
082798;Terrassa;105879;109242;215121;
082824;Tiana;4082;4471;8553;
252213;Tírvia;68;75;143;
252228;Tiurana;35;38;73;
431495;Tivenys;451;436;887;
431508;Tivissa;847;837;1684;
082830;Tona;3930;4021;7951;
252234;Torà;610;605;1215;
082845;Tordera;8343;8110;16453;
082858;Torelló;6826;7051;13877;
252249;Torms, els;84;65;149;
252252;Tornabous;473;409;882;
252271;Torre de Cabdella, la;379;369;748;
082861;Torre de Claramunt, la;1898;1824;3722;
431515;Torre de Fontaubella, la;69;65;134;
431520;Torre de l'Espanyol, la;331;304;635;
252265;Torrebesses;155;138;293;
431536;Torredembarra;7557;7903;15460;
252287;Torrefarrera;2361;2269;4630;
259078;Torrefeta i Florejacs;310;280;590;
252304;Torregrossa;1097;1069;2166;
252311;Torrelameu;401;302;703;
082877;Torrelavit;737;676;1413;
082883;Torrelles de Foix;1171;1030;2201;
082896;Torrelles de Llobregat;2934;2999;5933;
171978;Torrent;91;72;163;
252326;Torres de Segre;1155;1098;2253;
252332;Torre-serona;198;181;379;
171984;Torroella de Fluvià;379;332;711;
171997;Torroella de Montgrí;5823;5683;11506;
431541;Torroja del Priorat;85;68;153;
172001;Tortellà;383;398;781;
431554;Tortosa;16837;16906;33743;
172018;Toses;100;66;166;
172023;Tossa de Mar;2788;2710;5498;
252347;Tremp;2976;3050;6026;
172044;Ullà;597;480;1077;
082900;Ullastrell;1023;1016;2039;
172057;Ullastret;144;144;288;
431567;Ulldecona;3271;3097;6368;
431573;Ulldemolins;227;174;401;
172039;Ultramort;118;92;210;
172060;Urús;84;97;181;
082917;Vacarisses;3189;3003;6192;
170144;Vajol, la;48;35;83;
172076;Vall d'en Bas, la;1505;1478;2983;
172082;Vall de Bianya, la;635;631;1266;
250432;Vall de Boí, la;549;473;1022;
259010;Vall de Cardós;194;162;356;
082922;Vallbona d'Anoia;742;670;1412;
252385;Vallbona de les Monges;127;114;241;
082938;Vallcebre;143;111;254;
431589;Vallclara;62;48;110;
252402;Vallfogona de Balaguer;924;944;1868;
171707;Vallfogona de Ripollès;111;89;200;
431592;Vallfogona de Riucorb;57;37;94;
082943;Vallgorguina;1409;1363;2772;
082956;Vallirana;7331;7345;14676;
172095;Vall-llobrega;457;465;922;
431606;Vallmoll;824;821;1645;
082969;Vallromanes;1296;1229;2525;
431613;Valls;12101;12184;24285;
259062;Valls d'Aguilar, les;163;128;291;
252398;Valls de Valira, les;418;399;817;
431628;Vandellòs i l'Hospitalet de l'Infant;3074;3069;6143;
259097;Vansa i Fórnols, la;103;97;200;
082975;Veciana;95;78;173;
431634;Vendrell, el;18162;18320;36482;
172109;Ventalló;403;399;802;
252424;Verdú;443;490;933;
172116;Verges;559;591;1150;
431649;Vespella de Gaià;231;190;421;
082981;Vic;21590;21697;43287;
172121;Vidrà;91;85;176;
172137;Vidreres;3949;3683;7632;
252430;Vielha e Mijaran;2772;2687;5459;
431652;Vilabella;393;367;760;
172142;Vilabertran;467;452;919;
172155;Vilablareix;1302;1334;2636;
082994;Vilada;228;202;430;
172174;Viladamat;238;228;466;
172168;Viladasens;114;110;224;
083015;Viladecans;32673;33106;65779;
083008;Viladecavalls;3663;3691;7354;
172180;Vilademuls;426;382;808;
172207;Viladrau;518;512;1030;
172214;Vilafant;2689;2777;5466;
083054;Vilafranca del Penedès;19255;20110;39365;
252445;Vilagrassa;264;246;510;
172235;Vilajuïga;570;585;1155;
431750;Vilalba dels Arcs;331;327;658;
083067;Vilalba Sasserra;341;343;684;
252458;Vilaller;295;257;552;
172240;Vilallonga de Ter;204;196;400;
431665;Vilallonga del Camp;1158;1097;2255;
172253;Vilamacolum;163;157;320;
172266;Vilamalla;567;554;1121;
172272;Vilamaniscle;109;93;202;
252477;Vilamòs;81;70;151;
172288;Vilanant;206;199;405;
431671;Vilanova d'Escornalbou;286;256;542;
252483;Vilanova de Bellpuig;602;566;1168;
252496;Vilanova de l'Aguda;105;108;213;
252542;Vilanova de la Barca;535;519;1054;
252509;Vilanova de Meià;232;182;414;
431687;Vilanova de Prades;62;56;118;
083036;Vilanova de Sau;153;156;309;
252516;Vilanova de Segrià;498;443;941;
083020;Vilanova del Camí;6218;6191;12409;
089024;Vilanova del Vallès;2637;2580;5217;
083073;Vilanova i la Geltrú;31973;33999;65972;
431690;Vilaplana;302;288;590;
431704;Vila-rodona;647;608;1255;
172305;Vila-sacra;341;372;713;
252521;Vila-sana;364;368;732;
431711;Vila-seca;11021;10914;21935;
082140;Vilassar de Dalt;4411;4542;8953;
082191;Vilassar de Mar;9970;10708;20678;
172229;Vilaür;79;77;156;
431726;Vilaverd;235;217;452;
431732;Vilella Alta, la;73;62;135;
431747;Vilella Baixa, la;106;87;193;
172333;Vilobí d'Onyar;1635;1528;3163;
083041;Vilobí del Penedès;579;524;1103;
172327;Vilopriu;108;93;201;
252537;Vilosell, el;91;94;185;
431763;Vimbodí i Poblet;528;426;954;
252555;Vinaixa;257;242;499;
431779;Vinebre;215;215;430;
431785;Vinyols i els Arcs;994;924;1918;
083089;Viver i Serrateix;86;76;162;
430521;Xerta;574;616;1190;
